#,TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP,MELIKEY
609,Fly Or Die,N.E.R.D,2004-03-23,176,90,57,-5,68,3:32,12,35,
610,Exploder,Audioslave,2002-11-17,83,89,54,-4,65,3:26,0,50,
611,Vancouver Beatdown - Original Mix,Zomboy,2012-09-03,128,88,64,-1,75,5:24,0,41,
612,Scio,Jay Hardway,2017-03-13,120,77,64,-5,4,3:16,0,49,
613,Bambini,Mike Williams,2017-01-09,128,92,48,-5,11,2:42,0,59,
614,Cape Town Get Down,Flosstradamus,2010-10-25,136,94,78,-7,38,5:32,0,21,
615,Dilate,DROELOE,2016-10-13,150,88,67,-6,36,3:31,6,38,
616,Lavish (feat. Pharrell Williams),Twista,2005-10-03,136,79,81,-6,46,3:42,38,32,
617,RAW,San Holo,2016-07-18,90,86,66,-3,15,3:45,5,47,
618,Sippin' Tha Barre,Paul Wall,2005-07-19,142,77,76,-4,41,4:39,1,38,
619,Live by the Gun (feat. RA Diggs & Uncle Murda),Waka Flocka Flame,2010-10-01,77,86,38,-3,56,4:10,12,39,
620,Sleepwalk,KSHMR,2016-05-13,126,91,49,-3,32,3:43,2,44,
621,The Devil Is A Lie,Rick Ross,2014-01-01,103,83,68,-4,60,5:11,0,58,
622,How U Feel,Huncho Jack,2017-12-21,140,79,86,-3,44,3:26,5,66,
623,Nuclear (Album Version) - Original Mix,Zomboy,2014-08-04,174,98,48,-1,34,6:19,1,48,
624,Come On (feat. Sadat X),The Notorious B.I.G.,1999,89,74,76,-5,52,4:38,30,56,
625,Little Bit of This (feat. Vince Staples),GTA,2016-10-07,118,77,84,-6,55,2:48,1,56,
626,MTRD,NGHTMRE,2015-03-09,128,88,68,-5,25,4:15,0,40,
627,The Devil's Den,Skrillex,2011-12-27,128,95,62,-3,32,4:53,0,55,
628,The Grave feat. Gabriella Hook - Original Mix,Apashe,2014-10-14,130,73,71,-7,37,5:32,0,45,
629,Thanks A Million,Jay Hardway,2017-09-04,120,81,66,-9,46,3:36,1,43,
630,Ransacked II (feat. Lespecial),Space Jesus,2015-11-20,75,65,59,-6,17,4:29,0,31,
631,Organ Donor - Original Mix,Zomboy,2011-08-22,140,95,54,-5,64,3:59,1,36,
632,Breakn' A Sweat,Skrillex,2011-12-27,140,92,60,-2,23,5:02,0,57,
633,SPEED TRAP,JOYRYDE,2016-11-04,128,84,65,-4,10,3:50,2,51,
634,Somnia,Jay Hardway,2016-09-19,120,82,55,-6,21,2:48,0,42,
635,Moon Rock,Huncho Jack,2017-12-21,143,73,72,-4,20,2:31,1,65,
636,All I Blow Is Loud,Juicy J,2013-12-06,130,73,91,-5,9,3:38,1,47,
637,Plasticities,Andrew Bird,2007,147,50,61,-11,68,4:28,46,38,
638,Sleeping Lessons,The Shins,2007-01-23,115,51,52,-8,18,3:58,19,58,
639,I Walked,Sufjan Stevens,2010-10-12,130,45,59,-13,73,5:03,68,44,
640,I Will Possess Your Heart,Death Cab for Cutie,2008-04-29,133,62,61,-9,58,8:26,42,57,
641,New Slang,The Shins,2001-06-19,130,39,67,-12,65,3:51,61,71,
642,Flume,Bon Iver,2008-02-19,133,14,44,-17,9,3:39,93,61,
643,El Pico,Ratatat,2004,98,64,73,-6,52,4:42,23,40,
644,We Will Become Silhouettes,The Postal Service,2003-02-19,155,57,59,-8,14,5:01,3,49,
645,Girls Just Want to Have Fun,STRFKR,2012-01-10,120,70,76,-6,74,3:08,4,52,
646,The Man of Metropolis Steals Our Hearts,Sufjan Stevens,2005-07-05,145,36,55,-9,45,6:17,68,44,
647,Canon,Justice,2011-10-24,111,82,65,-5,35,3:39,4,42,
648,When I'm Small,Phantogram,2009,92,76,65,-4,42,4:09,19,62,
649,Shift - Alternate Version,Grizzly Bear,2007-11-05,80,30,50,-15,30,3:33,84,42,
650,Fortress,Pinback,2004-10-12,117,60,80,-8,95,4:10,9,45,
651,"Sodom, South Georgia",Iron & Wine,2004-03-23,121,20,73,-14,54,4:59,90,46,
652,Measuring Cups,Andrew Bird,2005-02-08,94,40,56,-12,38,2:52,78,39,
653,The Predatory Wasp of The Palisades Is Out To Get Us,Sufjan Stevens,2005-07-05,153,42,47,-11,31,5:23,92,51,
654,Alley Cats,Hot Chip,2010-02-01,126,53,73,-8,59,5:20,47,44,
655,Neckbrace,Ratatat,2010-06-07,120,89,76,-4,65,4:06,1,46,
656,The Look,Metronomy,2011-04-11,85,54,64,-8,50,4:38,62,68,
657,Shining Bright Despite The Plight,Pretty Lights,2010-10-22,90,80,62,-6,48,5:56,4,41,
658,Jacksonville,Sufjan Stevens,2005-07-05,140,45,60,-9,58,5:25,36,50,
659,Tiger Mountain Peasant Song,Fleet Foxes,2008-06-03,131,15,65,-12,29,3:29,93,51,
660,Loud Pipes,Ratatat,2006-08-22,88,70,72,-7,86,3:47,11,61,
661,The Warning,Hot Chip,2006-05-22,130,61,73,-10,44,4:52,9,60,
662,The Ghost Inside,Broken Bells,2010-03-03,104,70,87,-5,98,3:18,6,59,
663,Take Five,The Dave Brubeck Quartet,1959,174,26,45,-13,60,5:24,54,65,
664,"Gloria's Step - Take 1, interrupted",Bill Evans Trio,2005,84,30,46,-20,41,5:41,86,38,
665,Old Devil Moon,Chet Baker,2010-01-01,163,21,50,-17,43,2:58,90,40,
666,Take Ten,Paul Desmond,1997-08-26,74,18,47,-16,52,3:07,53,47,
667,Ponta de Areia,Wayne Shorter,1975,177,37,30,-8,26,5:16,93,48,
668,Peace Piece,Bill Evans,1959,47,3,44,-20,7,6:44,99,58,
669,Israel,Bill Evans Trio,1961,94,28,57,-17,39,6:10,70,27,
670,It's Always You - Vocal,Chet Baker,1956,82,3,50,-22,31,3:35,92,61,
671,Hymn To Freedom,Oscar Peterson Trio,2010-01-01,84,11,58,-21,20,5:34,97,40,
672,Everytime We Say Goodbye,John Coltrane,1961,122,12,45,-22,10,5:45,80,52,
673,Night and Day,Art Tatum,2009-01-01,143,31,46,-16,66,1:27,98,33,
674,Far Wes,Wes Montgomery,1958,104,14,63,-18,45,5:56,90,35,
675,Remember - 1999 Digital Remaster,Hank Mobley,1999-03-11,165,40,54,-9,70,5:42,79,60,
676,I Fall In Love Too Easily - Vocal,Chet Baker,1956,129,7,53,-19,29,3:21,94,63,
677,Limbo Jazz,Coleman Hawkins,2015-04-02,81,47,72,-11,87,5:14,70,37,
678,Delilah,Clifford Brown,1989-01-01,143,20,49,-16,50,8:07,90,29,
679,My Foolish Heart,Bill Evans Trio,1961,115,11,40,-23,13,4:57,93,49,
680,D & E,Oscar Peterson Trio,1964,124,25,58,-16,51,5:14,60,27,
681,Let's Get Lost,Chet Baker,1989-08-23,78,24,51,-15,51,3:45,77,54,
682,Moanin',Art Blakey & The Jazz Messengers,1989-11-22,126,23,61,-19,45,9:36,83,59,
683,Bye Bye Blackbird,Ron Carter,2006,140,24,54,-19,32,5:28,55,39,
684,As This Moment Slips Away,Joshua Redman,2015-05-26,91,43,53,-10,54,6:53,79,48,
685,Going Home,Charlie Haden,2012,90,2,43,-28,21,4:10,96,39,
686,Blue Train - 2003 Digital Remaster,John Coltrane,1958,137,50,48,-8,56,9:58,75,35,
687,Better Git It in Your Soul,Charles Mingus,1959,89,55,46,-12,76,7:21,11,54,
688,Sweet Lorraine,Art Tatum,2014-09-01,80,22,52,-19,78,2:35,99,31,
689,I Get Along Without You Very Well (Except Sometimes) - Vocal,Chet Baker,1956,103,3,44,-23,21,3:00,92,56,
690,A Day In The Life,Wes Montgomery,1967-01-01,98,35,50,-11,35,5:50,56,46,
691,Skating In Central Park - Digitally Remastered,Bill Evans,1962,124,3,48,-25,15,5:24,99,60,
692,Blinuet,Zoot Sims,2012-11-08,165,39,45,-9,70,4:39,69,41,
693,"Mercy, Mercy, Mercy - Live",Cannonball Adderley,1997,84,43,54,-10,35,5:13,72,49,
694,Monday in Manhattan (arr. A. Tatum),Art Tatum,2011-04-01,95,27,57,-15,70,2:20,97,38,
695,Haunted Heart,Bill Evans Trio,1961,85,6,36,-21,15,3:26,98,25,
696,143,Musiq Soulchild,2000-01-01,88,55,58,-9,21,4:58,8,38,
697,Cold War,Cautious Clay,2017-09-22,77,56,64,-9,35,3:23,20,66,
698,Venezuela Trains,Ravyn Lenae,2016-07-29,128,61,79,-7,16,4:10,38,53,
699,His Pain,BJ The Chicago Kid,2012-02-21,166,42,45,-11,77,5:29,87,51,
700,Didn't I,HONNE,2015-05-01,77,53,59,-7,44,3:25,3,36,
701,So Badly (Single Version),JMSN,2018-01-24,78,62,66,-6,68,4:16,15,52,
702,Sticking to My Guns,PJ Morton,2017-04-21,109,64,77,-10,78,3:42,21,40,
703,Transform (feat. Charlotte Day Wilson),Daniel Caesar,2017-08-25,69,29,50,-11,35,4:41,51,65,
704,Sex X Money X Sneakers,BJ The Chicago Kid,2012-02-21,174,86,56,-5,56,3:32,0,41,
705,Gonna Be Alright (F.T.B.) [feat. Ledisi],Ledisi,2012-02-24,91,48,47,-7,19,6:10,22,50,
706,Nights,Frank Ocean,2016-08-20,90,55,47,-9,42,5:07,42,77,
707,Sleep Talking,Ravyn Lenae,2016-07-29,156,68,78,-5,57,4:14,26,50,
708,Vietcong,Gary Bartz Ntu Troop,1971-01-01,98,50,53,-10,60,5:18,22,5,
709,Rolling Hills,Jill Scott,2011-06-21,74,58,47,-7,44,4:47,19,47,
710,Marceline,Willow,2015-01-11,130,45,71,-7,23,2:17,28,60,
711,The Hardest Button To Button,The White Stripes,2003,128,52,69,-8,55,3:32,1,57,
712,Put Me Thru,Anderson .Paak,2016-01-15,108,79,73,-4,61,2:41,5,59,
713,Familiar,Donnie Trumpet & The Social Experiment,2015-06-30,104,39,80,-10,58,3:54,28,54,
714,Riot,Childish Gambino,2016-12-02,91,95,50,-6,61,2:05,0,54,
715,Good Morning,Kanye West,2007-01-01,170,65,58,-6,57,3:15,9,65,
716,A+E (feat. Kandaka Moore & Nikki Cislyn),Clean Bandit,2014-06-02,115,52,81,-8,38,4:07,1,36,
717,Heart Don't Stand a Chance,Anderson .Paak,2016-01-15,94,55,69,-6,51,5:12,17,63,
718,Coast Is Clear,Skrillex,2014-03-14,80,80,62,-4,13,4:04,21,51,
719,Not Today,Twenty One Pilots,2015-05-15,115,71,77,-5,53,3:58,6,66,
720,Day By Day,Dirty Heads,2012-06-19,90,56,79,-7,41,3:35,44,54,
721,Die Young,Max Frost,2015-09-25,104,40,86,-9,38,3:08,23,55,
722,Special Occasion - feat. Tank,Diggy,2012-03-19,92,81,64,-6,70,3:53,10,18,
723,Blur My Hands (feat. Guy Sebastian),Lupe Fiasco,2015-01-20,80,83,43,-6,35,5:28,1,42,
724,So Hard To Breathe,B.o.B,2012-04-27,85,82,54,-5,38,4:21,2,43,
725,Don't Care,Galantis,2015-06-05,128,86,50,-4,31,3:45,1,48,
726,Pirates,Rick Ross,2012-01-01,143,73,58,-6,49,3:23,13,46,
727,Wake Me,Bleachers,2014-07-11,118,37,82,-11,46,2:44,10,58,
728,Through The Wire,Kanye West,2004-02-13,83,75,55,-6,62,3:41,1,64,
729,Wouldn't Get Far,The Game,2006-01-01,94,76,44,-5,69,4:11,15,51,
730,When Can We,KYLE,2013-08-05,130,85,56,-4,70,3:05,2,44,
731,The Dreamer,Anderson .Paak,2016-01-15,165,78,52,-4,39,5:40,32,57,
732,Stoney,Saba,2016-10-27,159,64,74,-7,70,3:31,30,59,
733,Hymn of Reflection,KSHMR,2016-05-13,100,89,41,-3,37,4:56,1,42,
734,The Devil You Know,X Ambassadors,2017-06-06,108,70,65,-7,32,4:03,0,51,
735,Parking Lot,Anderson .Paak,2016-01-15,97,91,64,-8,70,3:54,1,61,
736,The Cool,Lupe Fiasco,2006-06-27,94,86,65,-5,41,3:47,16,44,
737,II. Shadows,Childish Gambino,2013-01-01,116,76,62,-9,38,3:52,9,56,
738,Shot By My Own Gun,Sam Feldt,2017-11-24,105,72,66,-6,52,2:43,7,59,
739,The Funeral,Band of Horses,2006-03-21,123,77,32,-5,13,5:21,1,72,
740,Are You Here,Corinne Bailey Rae,2010-01-26,98,43,43,-9,14,4:13,67,34,
741,Diane Young,Vampire Weekend,2013-05-27,87,80,42,-5,76,2:40,3,63,
742,American Daydream,Electric Guest,2012-01-01,75,49,67,-10,41,2:49,17,50,
743,Riptide,MisterWives,2014-09-15,92,68,53,-7,37,4:13,44,51,
744,Seven,Rainbow Kitten Surprise,2013-11-19,136,53,64,-7,19,3:45,5,62,
745,Wake up Everybody,John Legend,2010-09-17,94,47,64,-8,66,4:25,54,56,
746,Guru,Coast Modern,2016-05-20,140,70,76,-6,81,3:24,23,64,
747,Don't Doubt,Blind Pilot,2016-01-01,110,28,63,-10,40,4:05,50,46,
748,Step,Vampire Weekend,2013-05-27,78,72,62,-7,62,4:12,59,67,
749,Friends Like Evergreens,Lianne La Havas,2013-04-29,137,18,47,-12,23,2:57,93,37,
750,Moondance,Michael Bublé,2003,141,61,58,-6,48,4:12,63,50,
751,The Rain,Oh Wonder,2015-09-04,75,28,53,-9,20,2:54,58,53,
752,Feels Like The First Time,Corinne Bailey Rae,2010-01-26,92,65,52,-9,60,3:13,31,31,
753,The Denial Twist,The White Stripes,2005,90,76,50,-8,76,2:36,33,50,
754,Fail!,Rainbow Kitten Surprise,2013-11-19,100,68,62,-6,50,3:14,3,55,
755,Shorty Don't Wait,A Great Big World,2014-01-17,136,37,68,-8,62,4:12,77,52,
756,Lifetimes,Oh Wonder,2017-07-14,146,64,65,-5,76,3:52,37,57,
757,Bennie & The Jets - Live From SXSW 2015,BØRNS,2016-01-29,130,51,68,-10,44,3:22,9,48,
758,Call Me Irresponsible,Michael Bublé,2007-04-27,108,43,64,-8,39,3:16,59,54,
759,Holes,Electric Guest,2012-01-01,77,45,70,-9,68,2:46,7,38,
760,No Wrong,Bahamas,2018-02-16,119,22,82,-9,36,3:49,76,55,
761,What's Going On - Recorded at Spotify Studios NYC,John Legend,2016-11-30,108,24,54,-9,29,3:35,98,65,
762,Every Little Thing,Young the Giant,2011,96,53,61,-10,43,4:03,53,42,
763,Counting Cards,Rainbow Kitten Surprise,2015-04-25,110,60,76,-8,31,3:50,9,54,
764,Foreign Girls,Bleachers,2017-06-02,95,58,39,-7,38,4:02,18,51,
765,Back & Forth,Electric Guest,2017-02-17,119,40,78,-8,64,4:24,25,48,
766,Last Day . . .,Shallou,2017-05-12,190,36,43,-12,8,2:18,81,58,
767,Capri,Colbie Caillat,2007-01-01,78,5,48,-13,26,3:02,94,39,
768,Nothin On My Mind,Astronomyy,2014-07-28,90,53,67,-10,10,3:11,5,44,
769,New Day,Tom Speight,2016-07-08,120,33,50,-11,23,3:57,71,49,
770,Coffins,MisterWives,2015-02-24,76,54,47,-8,10,3:09,55,47,
771,Goodmorning,Bleachers,2017-06-02,80,45,65,-10,51,3:13,58,62,
772,Frost,Coast Modern,2017-07-28,94,28,48,-10,40,2:46,97,42,
773,Troubleman,Electric Guest,2012-01-01,122,53,47,-8,30,8:49,24,44,
774,Entertainment,Tom Odell,2016-06-10,141,33,65,-10,31,3:28,71,43,
775,Solo,Oh Wonder,2017-07-14,108,65,58,-7,33,3:25,45,53,
776,Shameful Company,Rainbow Kitten Surprise,2013-11-19,130,46,70,-12,27,3:42,37,55,
777,The Bitter End,Blind Pilot,2008-07-15,104,40,53,-9,29,3:22,87,39,
778,My Doorbell,The White Stripes,2005,97,66,61,-10,82,4:02,30,50,
779,Everlasting Arms,Vampire Weekend,2013-05-27,120,70,66,-8,53,3:03,47,52,
780,Cute - Recorded at Spotify Studios NYC,Coast Modern,2016-11-30,79,54,68,-8,67,3:40,5,53,
781,3:00 AM,AJR,2014-09-16,180,43,52,-11,33,3:45,72,45,
782,Who I Want You to Love,Bleachers,2014-07-11,165,38,51,-13,24,4:51,79,43,
783,Sign Of The Times - Spotify Studios NYC,LANY,2017-10-11,124,40,61,-10,11,5:20,5,54,
784,Since I've Been Loving You,Corinne Bailey Rae,2006,133,19,58,-12,34,4:22,93,32,
785,"Try, Tried, Tryin'",Bahamas,2009-07-21,123,31,72,-10,15,3:56,56,35,
786,Sound Of Awakening,WALK THE MOON,2017-11-10,135,43,47,-8,28,6:16,14,45,
787,Man in The Mirror - Acoustic,James Morrison,2010-06-24,94,38,68,-7,52,4:04,75,45,
788,Send Me The Moon,Sara Bareilles,2010-09-07,162,39,42,-10,23,4:58,54,57,
789,Things That Stop You Dreaming,Passenger,2012-06-29,89,52,45,-9,19,3:35,39,43,
790,Idle Town,Conan Gray,2017-03-30,77,24,63,-15,25,3:56,85,65,
791,Hockey Teeth,Bahamas,2009-07-21,104,41,74,-9,53,2:35,77,48,
792,Sim Sala Bim,Fleet Foxes,2011-05-03,107,44,41,-8,36,3:14,42,41,
793,Library Magic,The Head and the Heart,2016-09-09,90,62,43,-8,53,3:14,25,62,
794,3 Rounds and a Sound,Blind Pilot,2008-07-15,59,29,38,-12,20,4:27,84,63,
795,First Day Of My Life,Bright Eyes,2005-01-25,94,20,47,-17,38,3:09,92,72,
796,Woodland,The Paper Kites,2013-03-05,178,52,44,-10,37,3:52,54,58,
797,Tiderays,Volcano Choir,2013-09-03,121,47,45,-10,13,4:57,66,53,
798,Such Great Heights,Iron & Wine,2009-05-19,94,28,61,-11,55,4:11,81,58,
799,That Moon Song,Gregory Alan Isakov,2009-05-15,146,39,31,-13,26,3:34,63,53,
800,Wake Me,Mandolin Orange,2011-11-08,135,33,55,-12,34,4:42,95,49,
801,Last Waltz,Horse Feathers,2012-04-17,82,40,40,-9,46,3:59,82,32,
802,20 Years,The Civil Wars,2011-02-01,123,30,52,-12,35,3:02,91,48,
803,Down in the Valley,The Head and the Heart,2010,106,40,42,-11,15,5:04,56,65,
804,Second Chances,Gregory Alan Isakov,2013-07-23,155,33,38,-10,21,3:49,95,54,
805,"If You Need To, Keep Time On Me",Fleet Foxes,2017-06-16,104,22,52,-10,14,3:31,65,72,
806,Call It Dreaming,Iron & Wine,2017-06-08,80,52,52,-9,71,3:52,61,70,
807,Wildfire,Mandolin Orange,2016-07-15,121,35,65,-10,17,5:30,69,60,
808,Blood on the Snow,Horse Feathers,2006-09-26,88,17,47,-14,27,2:11,91,22,
809,The Truth Is A Cave,The Oh Hellos,2012-10-30,86,49,47,-8,22,4:01,22,45,
810,Beggar in the Morning,The Barr Brothers,2011-09-27,79,49,30,-10,18,5:55,77,48,
811,Snake Eyes,The Milk Carton Kids,2013-03-26,102,11,57,-20,11,2:38,95,38,
812,Dandelion Wine,Gregory Alan Isakov,2009-05-15,111,11,39,-16,18,3:05,76,59,
813,House Of Stone,Mandolin Orange,2013-08-16,82,17,41,-12,17,3:17,93,54,
814,I Love To Dance,Langhorne Slim,2008-08-30,121,56,50,-7,48,4:09,36,34,
815,Another Story,The Head and the Heart,2013-10-15,87,45,35,-10,11,4:34,55,65,
816,Hello My Old Heart,The Oh Hellos,2011-12-01,90,30,56,-11,30,4:16,62,65,
817,Mykonos,Fleet Foxes,2008-02-28,83,45,30,-9,34,4:35,40,65,
818,New York,The Milk Carton Kids,2011-07-19,108,22,57,-16,41,3:33,92,40,
819,Restless,Langhorne Slim,2008-02-23,129,69,53,-6,69,2:17,56,30,
820,Even the Darkness Has Arms,The Barr Brothers,2014-10-06,101,65,51,-13,75,3:51,81,71,
821,Yellow Eyes,Rayland Baxter,2015-06-16,77,68,51,-8,57,3:51,11,56,
822,Tiger Striped Sky,Roo Panes,2014-10-06,140,32,47,-10,13,4:02,94,68,
823,C'est La Mort,The Civil Wars,2011-02-01,150,17,46,-13,8,2:30,93,42,
824,Finch On Saturday,Horse Feathers,2006-09-26,86,14,38,-16,30,2:38,92,32,
825,All Shades of Blue,Gregory Alan Isakov,2013-07-23,161,30,48,-11,29,3:34,88,47,
826,Over Everything,Courtney Barnett,2017-10-13,120,87,54,-5,65,6:20,11,54,
827,San Fran,Moses Sumney,2014-04-07,109,31,29,-16,22,4:12,84,44,
828,Every Time the Sun Comes Up,Sharon Van Etten,2014-05-27,100,52,66,-9,30,4:23,39,61,
829,The Rifle,Alela Diane,2006-01-01,166,15,42,-14,19,2:43,97,29,
830,Whippoorwill,Darlingside,2016-10-07,96,58,64,-9,38,4:39,64,48,
831,One Of These Days,Bedouine,2017-12-01,82,42,72,-13,72,2:59,59,45,
832,Prism Song,Julie Byrne,2014-01-21,71,22,42,-13,14,3:37,91,51,
833,White As Diamonds,Alela Diane,2009,79,34,42,-9,27,3:38,91,24,
834,Last Words of a Shooting Star,Mitski,2014-11-11,130,17,39,-19,10,2:44,47,47,
835,AWOL Marine,Perfume Genius,2012-02-20,93,11,21,-14,4,2:48,98,33,
836,Everlasting Sigh,Moses Sumney,2016-03-29,90,62,60,-10,53,3:53,14,45,
837,We Are Fine,Sharon Van Etten,2012-11-13,108,32,45,-9,9,3:49,63,53,
838,Elvis,Annie Eve,2013-05-31,63,24,54,-10,9,3:55,79,47,
839,Motion Sickness,Phoebe Bridgers,2017-09-22,107,55,65,-9,63,3:50,77,59,
840,Learning,Perfume Genius,2010-12-06,124,27,46,-12,24,2:45,100,44,
841,"The Jester, The Tramp, & The Acrobat",Kevin Morby,2014-10-14,97,55,30,-9,28,4:22,2,35,
842,Silver John,This Is The Kit,2015-04-07,78,44,38,-8,39,3:27,69,17,
843,Lonely World,Moses Sumney,2017-09-22,125,60,41,-8,18,4:49,34,53,
844,"Me at the Museum, You in the Wintergardens",Tiny Ruins,2014-05-13,90,24,37,-14,24,2:35,91,34,
845,Billie Holiday,Warpaint,2009,101,39,52,-11,26,6:45,64,56,
846,Paul,Big Thief,2016-05-27,123,26,48,-12,17,3:04,20,61,
847,All to Myself,Amber Coffman,2017-06-02,99,50,66,-7,41,5:39,61,36,
848,Ooo,Karen O,2014-09-09,167,30,38,-8,19,1:29,85,47,
849,Everything I Saw,The Weather Station,2011,129,25,54,-16,47,2:42,90,30,
850,"Lookout, Lookout",Perfume Genius,2010-12-06,124,23,34,-11,19,2:58,99,34,
851,Tarifa,Sharon Van Etten,2014-05-27,73,33,28,-9,10,4:51,25,52,
852,In the Dirt,S. Carey,2010-08-24,150,44,45,-12,17,5:22,98,41,
853,Seattle Party,Chastity Belt,2013-08-13,134,51,53,-9,44,4:37,7,57,
854,End Come Too Soon,Wild Beasts,2011-05-10,128,45,51,-14,8,7:33,82,27,
855,Came So Easy,The Weather Station,2011,115,30,54,-16,54,3:01,87,39,
856,Continental Breakfast,Courtney Barnett,2017-10-13,90,53,49,-9,52,4:53,15,48,
857,Emotions And Math,Margaret Glaspy,2016-06-17,109,55,68,-6,66,3:17,37,47,
858,Rapt,Karen O,2014-09-09,78,33,38,-7,42,1:47,83,43,
859,El Cuarto De Tula,Buena Vista Social Club,1997-09-16,104,70,52,-13,87,7:25,64,61,
860,Bongo Bong,Manu Chao,1998-10-06,150,55,76,-10,96,2:38,94,67,
861,Hotel California (Spanish Mix),Gipsy Kings,2000-09-05,102,82,46,-9,53,5:47,53,47,
862,The Girl From Ipanema,Stan Getz,1964-04,129,14,66,-17,40,5:18,87,49,
863,Painting Silhouettes,Quantic,2014-01-01,93,53,64,-12,49,3:22,45,43,
864,Me Gustas Tu,Manu Chao,2001-06-01,176,74,66,-7,91,4:00,66,70,
865,Dos Gardenias,Buena Vista Social Club,1997-09-16,92,18,56,-18,50,3:04,82,62,
866,Senegal Fast Food,Amadou & Mariam,2005,82,91,64,-7,88,4:19,81,49,
867,Sympathique,Pink Martini,2006,129,35,57,-12,78,2:48,73,49,
868,Havana Affair,Onda Vaga,2008-01-01,96,25,74,-13,32,3:20,89,51,
869,Black Chicken 37,Buena Vista Social Club,2015-03-25,93,55,49,-16,97,3:33,77,41,
870,Desafinado,João Gilberto,2014-09-30,82,28,51,-16,70,1:57,76,49,
871,A Nightingale Sang In Berkeley Square,Stan Getz,2006-01-01,93,11,40,-19,24,6:58,97,52,
872,Last tango in Paris,Gotan Project,2000-10-31,96,72,79,-7,83,4:34,1,48,
873,Buena Vista Social Club,Buena Vista Social Club,1997-09-16,102,27,65,-18,53,4:53,83,50,
874,Tiene Sabor,Buena Vista Social Club,2015-03-25,143,66,68,-10,88,3:18,74,54,
875,Mr Bobby,Manu Chao,2001-06-01,150,55,64,-7,97,3:49,68,62,
876,Rendición,Onda Vaga,2013-04-24,127,51,67,-11,47,3:59,61,43,
877,Baja a la Tierra,Kevin Johansen,2012-06-18,82,42,60,-11,20,3:23,27,48,
878,Murmullo,Buena Vista Social Club,1997-09-16,171,20,37,-21,42,3:51,92,50,
879,Oh Que Sera,Willie Colón,2012-04-10,89,77,55,-6,50,5:04,70,44,
880,Hang on Little Tomato,Pink Martini,2006,93,20,52,-11,54,3:17,95,51,
881,Baila Me,Gipsy Kings,1991-06-28,119,87,77,-8,88,3:44,44,38,
882,La Bayamesa,Buena Vista Social Club,1997-09-16,84,15,47,-14,33,2:54,97,49,
883,"Oh, What a Waist (Pero Qué Cintura!)",Kevin Johansen,2016-06-17,94,71,67,-10,77,4:21,56,51,
884,Clocks,Rhythms Del Mundo,2006-01-01,131,58,75,-7,94,5:00,67,39,
885,Minha galera,Manu Chao,1998-10-06,130,45,87,-9,65,2:22,88,57,
886,Bodas de Oro,Buena Vista Social Club,2015-03-25,122,50,65,-9,83,4:40,71,46,
887,"Bem, Bem, Maria",Gipsy Kings,2000-09-05,118,89,68,-9,92,3:04,66,41,
888,No habra nadie en el mundo,Buika,2008-05-19,130,53,91,-9,79,3:53,75,52,
889,Talento De Televisión,Willie Colón,2010-06-07,105,80,78,-7,94,4:39,70,62,
890,Candela,Buena Vista Social Club,1997-09-16,101,58,51,-14,83,5:29,73,60,
891,Timing,Kevin Johansen,2003-11-18,88,25,68,-12,29,3:53,81,25,
892,"Hasta siempre, Comandante - Directo RNE",Compay Segundo,2007-10-30,128,41,72,-12,76,3:41,58,43,
893,Je ne t'aime plus,Manu Chao,1998-10-06,150,44,65,-13,93,2:03,91,60,
894,"Nocturne in E-Flat Major, Op. 9, No.2",Frédéric Chopin,2011-02-01,73,5,31,-25,7,3:52,99,61,
895,Rêverie,Claude Debussy,2007-07-31,62,1,25,-32,8,3:53,100,57,
896,"Trois études de concert in D-Flat Major, S. 144/ 3: Un sospiro",Franz Liszt,2011-08-22,76,5,23,-27,3,5:27,98,40,
897,"Nocturne No. 15 in F Minor, Op. 55 / No. 1",Arthur Rubinstein,2012-12-03,80,5,35,-19,18,4:43,99,44,
898,"String Quartet In F Major, M.35: 2. Assez vif. Très rythmé",Maurice Ravel,1991-01-01,151,5,27,-27,7,6:18,93,33,
899,Nocturne en mi bémol majeur opus 9 n°2: Ballade en Sol Mineur No.1,Frédéric Chopin,2010-05-18,61,5,39,-25,7,4:28,99,63,
900,Estampes: I. Pagodes. Modérément animé,Claude Debussy,2007-07-31,68,2,23,-29,9,6:09,99,51,
901,Liebestraume No. 3 In A-flat Major (Nottorno No. 3),Jean-Yves Thibaudet,2010-04-07,72,5,23,-22,3,4:07,99,48,
902,"Les Jeux d'eaux a la Villa d'Este, S. 163",Franz Liszt,2013-10-01,76,13,23,-21,4,8:19,98,55,
903,String Quartet in F Major: II. Assez vif - Très rythmé,Maurice Ravel,2008-10-06,153,4,29,-25,9,6:29,93,54,
904,"Berceuse, Op. 57",Frédéric Chopin,1998,65,1,31,-35,6,4:12,99,51,
905,La Fille Aux Cheveux De Lin L. 117,Claude Debussy,2016-11-25,90,0,37,-32,23,3:28,100,56,
906,"Nocturnes, Op. 9: No. 1 in B-flat Minor",Frédéric Chopin,1999-10-12,128,5,42,-19,7,5:15,99,30,
907,"Piano Trio No. 2 in E-flat, D. 929, Op. 100: Andante con moto",Franz Schubert,2007-01-01,95,2,28,-24,12,9:09,98,39,
